year,variable,value,question,N,low,pct,upp
1997,ofthang,No,eqpay,1553,0.69819955067302,0.724534751841354,0.750869953009687
1997,ofthang,No,jobop,1553,0.554923012661901,0.583674550749063,0.612426088836225
1997,ofthang,Yes,eqpay,9210,0.741860373389131,0.752099015506966,0.762337657624802
1997,ofthang,Yes,jobop,9210,0.585733769787869,0.597339873055913,0.608945976323957
1998,ofthang,No,eqpay,1743,0.70205088894572,0.72693473287259,0.75181857679946
1998,ofthang,No,jobop,1743,0.561414920113418,0.588860600836171,0.616306281558923
1998,ofthang,Yes,eqpay,8564,0.748813556573606,0.759372710922041,0.769931865270476
1998,ofthang,Yes,jobop,8564,0.600946467081946,0.612962596695366,0.624978726308787
1999,ofthang,No,eqpay,1532,0.708167291919329,0.73368989153173,0.759212491144131
1999,ofthang,No,jobop,1532,0.568410332023422,0.597111071536097,0.625811811048772
1999,ofthang,Yes,eqpay,7720,0.716665986150829,0.72838944179785,0.74011289744487
1999,ofthang,Yes,jobop,7720,0.571482094313049,0.584321590149074,0.597161085985099
2000,ofthang,No,eqpay,1608,0.682258020665146,0.708807081772721,0.735356142880296
2000,ofthang,No,jobop,1608,0.539637267172639,0.56866136728819,0.59768546740374
2000,ofthang,Yes,eqpay,8042,0.721608941642191,0.733122265438039,0.744635589233887
2000,ofthang,Yes,jobop,8042,0.585632513416565,0.598343777016994,0.611055040617422
2001,ofthang,No,eqpay,1675,0.694303955137125,0.719460861210874,0.744617767284624
2001,ofthang,No,jobop,1675,0.577286186136465,0.60478789141368,0.632289596690894
2001,ofthang,Yes,eqpay,7677,0.699967486504846,0.711893072566373,0.7238186586279
2001,ofthang,Yes,jobop,7677,0.579020984892705,0.591888398671684,0.604755812450662
2002,ofthang,No,eqpay,1794,0.653404391916086,0.679929396722555,0.706454401529023
2002,ofthang,No,jobop,1794,0.53982386285726,0.567455520192017,0.595087177526773
2002,ofthang,Yes,eqpay,7497,0.707398869977817,0.719535091953087,0.731671313928357
2002,ofthang,Yes,jobop,7497,0.581534928958126,0.594757997504038,0.60798106604995
2003,ofthang,No,eqpay,1722,0.681164949444611,0.706476859892844,0.731788770341076
2003,ofthang,No,jobop,1722,0.567838398321483,0.594735396891553,0.621632395461623
2003,ofthang,Yes,eqpay,8230,0.707429764787981,0.718619952386846,0.72981013998571
2003,ofthang,Yes,jobop,8230,0.584783826502755,0.596940865098815,0.609097903694876
2004,ofthang,No,eqpay,1789,0.681654967993811,0.705547003415853,0.729439038837895
2004,ofthang,No,jobop,1789,0.567862792645023,0.594106753896299,0.620350715147576
2004,ofthang,Yes,eqpay,8783,0.704964486064191,0.715728744725655,0.72649300338712
2004,ofthang,Yes,jobop,8783,0.566102745960141,0.577960077577726,0.58981740919531
2005,ofthang,No,eqpay,1873,0.687217068364166,0.710773053218397,0.734329038072628
2005,ofthang,No,jobop,1873,0.564858011051598,0.590535909550767,0.616213808049937
2005,ofthang,Yes,eqpay,8624,0.71617282835099,0.727053312812717,0.737933797274444
2005,ofthang,Yes,jobop,8624,0.585835124084796,0.597760733066988,0.60968634204918
2006,ofthang,No,eqpay,911,0.681147995857533,0.714598465931397,0.748048936005261
2006,ofthang,No,jobop,911,0.605194317300531,0.640602262436461,0.676010207572391
2006,ofthang,Yes,eqpay,4242,0.706767821759075,0.722023759732927,0.73727969770678
2006,ofthang,Yes,jobop,4242,0.551546305723147,0.568559258786103,0.585572211849058
2007,ofthang,No,eqpay,972,0.688807267179317,0.722452652293869,0.756098037408422
2007,ofthang,No,jobop,972,0.556177755442453,0.592199244902869,0.628220734363285
2007,ofthang,Yes,eqpay,4202,0.713215736553022,0.72875301728031,0.744290298007599
2007,ofthang,Yes,jobop,4202,0.576316796655422,0.593509063938369,0.610701331221317
2008,ofthang,No,eqpay,859,0.696736197186698,0.730791461140051,0.764846725093403
2008,ofthang,No,jobop,859,0.547999260029239,0.586403719186395,0.62480817834355
2008,ofthang,Yes,eqpay,3903,0.714199134043361,0.730328025724142,0.746456917404922
