year,variable,value,question,N,low,pct,upp
2012,momeduc,College,jobop,2260,0.542888431570119,0.566830912757194,0.590773393944269
2012,momeduc,Non-college,eqpay,1983,0.676398950126137,0.699429825410043,0.722460700693949
2012,momeduc,Non-college,jobop,1983,0.513241440137463,0.538480771061018,0.563720101984573
2013,momeduc,College,eqpay,1938,0.704193807007134,0.727260835913459,0.750327864819783
2013,momeduc,College,jobop,1938,0.546015582949359,0.571764554088085,0.597513525226812
2013,momeduc,Non-college,eqpay,1856,0.644863187788294,0.670153128679071,0.695443069569847
2013,momeduc,Non-college,jobop,1856,0.510216846991458,0.536408510474312,0.562600173957166
2014,momeduc,College,eqpay,2014,0.724399451222911,0.74690677400873,0.769414096794549
2014,momeduc,College,jobop,2014,0.608919509983479,0.633781406686702,0.658643303389924
2014,momeduc,Non-college,eqpay,1839,0.694326952353437,0.718584044574766,0.742841136796094
2014,momeduc,Non-college,jobop,1839,0.551609445244551,0.578167770700895,0.604726096157239
2015,momeduc,College,eqpay,2332,0.724647448194204,0.745500633107761,0.766353818021319
2015,momeduc,College,jobop,2332,0.635354396996454,0.657953683110756,0.680552969225058
2015,momeduc,Non-college,eqpay,1873,0.67786859083203,0.702264205577434,0.726659820322838
2015,momeduc,Non-college,jobop,1873,0.564308977218626,0.590421025573403,0.616533073928181
2016,momeduc,College,eqpay,2278,0.70362230922535,0.726329335261542,0.749036361297733
2016,momeduc,College,jobop,2278,0.610438046478571,0.634494030339071,0.65855001419957
2016,momeduc,Non-college,eqpay,2023,0.675612286361795,0.699611614819703,0.72361094327761
2016,momeduc,Non-college,jobop,2023,0.577574425977939,0.603292002913212,0.629009579848485
2017,momeduc,College,eqpay,2072,0.717076903914247,0.739920898015362,0.762764892116477
2017,momeduc,College,jobop,2072,0.627365144846057,0.652325080208599,0.677285015571142
2017,momeduc,Non-college,eqpay,1839,0.684371829902869,0.708962013609143,0.733552197315417
2017,momeduc,Non-college,jobop,1839,0.578269214667723,0.604601760381855,0.630934306095988
2018,momeduc,College,eqpay,2069,0.726740545742115,0.749656928789882,0.77257331183765
2018,momeduc,College,jobop,2069,0.621968595432908,0.64776727684925,0.673565958265591
2018,momeduc,Non-college,eqpay,1818,0.672847375569484,0.698909577208893,0.724971778848302
2018,momeduc,Non-college,jobop,1818,0.593182785562674,0.620733057343649,0.648283329124625
2019,momeduc,College,eqpay,2193,0.697786109680432,0.720898026568896,0.74400994345736
2019,momeduc,College,jobop,2193,0.610107166332681,0.634516549161735,0.658925931990788
2019,momeduc,Non-college,eqpay,1573,0.646971936911446,0.675326326899905,0.703680716888364
2019,momeduc,Non-college,jobop,1573,0.544661045219232,0.574848079509227,0.605035113799221
2020,momeduc,College,eqpay,612,0.640807804538337,0.687556512598948,0.734305220659559
2020,momeduc,College,jobop,612,0.499983677362152,0.549954853898396,0.59992603043464
2020,momeduc,Non-college,eqpay,528,0.610090552059467,0.664766590432768,0.719442628806069
2020,momeduc,Non-college,jobop,528,0.499915645802999,0.555942559635852,0.611969473468706
2021,momeduc,College,eqpay,1764,0.622713316671657,0.650873898523524,0.67903448037539
2021,momeduc,College,jobop,1764,0.524242053395479,0.553508313327909,0.582774573260338
2021,momeduc,Non-college,eqpay,1111,0.599068906973265,0.633823926785146,0.668578946597028
2021,momeduc,Non-college,jobop,1111,0.474100059542919,0.509600517633259,0.545100975723598
2022,momeduc,College,eqpay,1520,0.638784856770571,0.668321512312635,0.697858167854698
2022,momeduc,College,jobop,1520,0.507499674940547,0.539077684235952,0.570655693531356
2022,momeduc,Non-college,eqpay,1155,0.577942249120079,0.61273229422626,0.647522339332442
2022,momeduc,Non-college,jobop,1155,0.484159090220707,0.519858629161881,0.555558168103054
2023,momeduc,College,eqpay,1082,0.533956440014106,0.572622608783902,0.611288777553698
2023,momeduc,College,jobop,1082,0.408357817083418,0.44625072397415,0.484143630864883
2023,momeduc,Non-college,eqpay,743,0.521745201541225,0.571262538108084,0.620779874674944
2023,momeduc,Non-college,jobop,743,0.423140540455893,0.473181780796311,0.523223021136729
